aX,aY,aZ,gX,gY,gZ
-0.239014,-0.399902,-1.115845,-63.598629,-51.757809,-47.912594
-0.225220,-0.353394,-0.817871,-60.485836,-50.720211,-42.541500
-0.225830,-0.267822,-0.884155,-69.885254,-22.216795,-38.269043
-0.231812,-0.286133,-1.036133,-70.495605,-3.662109,-49.926754
-0.248657,-0.524048,-1.278442,-47.851559,-18.249512,-50.537106
-0.243286,-0.645996,-1.289917,-33.691406,-31.616209,-38.269043
-0.217651,-0.462158,-1.055054,-19.531250,-57.556149,-10.192870
-0.206787,-0.372925,-0.924072,-35.766602,-58.776852,-9.887695
-0.201294,-0.427368,-0.833496,-50.292965,-40.283199,-17.883301
-0.191040,-0.483521,-0.950684,-58.959957,-31.982420,-14.526366
-0.173340,-0.491455,-1.169800,-67.016602,-26.000975,-7.202148
-0.167725,-0.599243,-1.203979,-51.147457,-43.640133,-5.187988
-0.168213,-0.644897,-1.080200,-33.508301,-71.350098,5.981445
-0.146973,-0.608887,-0.760986,-37.414551,-68.237305,20.812986
-0.102417,-0.553345,-0.674927,-44.616695,-56.518551,25.512693
-0.072266,-0.516357,-0.748413,-60.363766,-33.996582,32.409668
-0.059692,-0.487183,-0.815674,-74.035645,-21.728514,35.766602
-0.052002,-0.484985,-0.980225,-63.537594,-26.489256,28.930662
-0.044922,-0.624512,-0.921875,-52.978512,-35.400391,27.770994
-0.026245,-0.609009,-0.781982,-31.799314,-45.104977,40.588375
0.002686,-0.542114,-0.703003,-19.348145,-43.518063,49.438473
0.012939,-0.505005,-0.682373,-30.273436,-36.865234,48.400875
0.019287,-0.452148,-0.691406,-35.461426,-33.203125,45.898434
0.046997,-0.481812,-0.770630,-36.376953,-27.282713,42.358395
0.060181,-0.503662,-0.822388,-30.822752,-26.367186,46.997066
0.084229,-0.538818,-0.875000,-14.831542,-33.203125,53.405758
0.109009,-0.507690,-0.804565,-10.131835,-37.658691,56.335445
0.137817,-0.484619,-0.681519,-10.620116,-39.428711,57.800289
0.159790,-0.514160,-0.687256,-20.141600,-30.456541,51.269527
0.167969,-0.511719,-0.725830,-33.081055,-26.062010,46.997066
0.168823,-0.500854,-0.781128,-30.395506,-26.306150,45.043941
0.178711,-0.592407,-0.811646,-21.118162,-25.146482,46.447750
0.183594,-0.579224,-0.805420,-2.502441,-24.230955,63.110348
0.192871,-0.502930,-0.765137,13.000487,-31.494139,78.247070
0.214233,-0.375854,-0.666626,18.188477,-34.912109,76.416016
0.241943,-0.385132,-0.596191,15.624999,-35.400391,60.729977
0.290527,-0.385986,-0.627075,0.183105,-26.550291,51.940914
0.310059,-0.402100,-0.673218,2.319336,-15.258788,51.940914
0.327148,-0.434937,-0.740967,8.605957,-13.549804,54.870602
0.335815,-0.390869,-0.685913,22.949217,-19.287109,64.025879
0.340698,-0.375244,-0.567261,43.273922,-23.254393,65.429687
0.340454,-0.390869,-0.520142,48.461910,-16.113281,59.143063
0.345581,-0.362427,-0.540039,44.677731,-7.873535,58.349606
0.355835,-0.285889,-0.745972,40.161129,10.070800,57.189938
0.354370,-0.301880,-0.822876,41.625973,4.638672,49.682613
0.354004,-0.386475,-0.779785,42.175289,-7.690429,55.053707
0.376831,-0.303711,-0.730835,40.954586,-8.544922,59.753414
0.379150,-0.224365,-0.676880,42.297359,-11.169433,56.762691
0.362183,-0.296265,-0.557373,50.354000,-14.404296,48.339840
0.371704,-0.307373,-0.526367,48.706051,0.488281,56.396481
0.402832,-0.189087,-0.662476,42.175289,25.207518,63.720699
0.416138,-0.088501,-0.847656,39.794922,26.916502,60.485836
0.415527,-0.130737,-0.756592,37.597656,11.596679,48.583981
0.398193,-0.144653,-0.674194,43.273922,6.591796,45.593258
0.353882,-0.193237,-0.581543,48.339840,17.883301,47.668453
0.379150,-0.160645,-0.650024,45.654293,28.015135,53.222652
0.414307,-0.006714,-0.870117,36.071777,44.189449,59.020992
0.418701,0.023560,-0.933350,31.433104,37.719727,46.936031
0.398438,-0.048584,-0.953491,31.555174,31.555174,39.245605
0.355347,-0.176636,-0.836182,33.447266,20.568846,35.278320
0.343750,-0.192261,-0.741211,29.846189,23.071287,48.645016
0.353882,-0.043335,-0.713379,24.719236,41.320797,57.800289
0.349609,0.100586,-0.921509,24.291990,47.119137,53.955074
0.323853,0.084106,-1.049683,25.390623,41.015621,41.076656
0.314331,0.072388,-1.014648,29.724119,23.559568,34.790039
0.311646,0.001343,-0.829712,36.560059,20.141600,34.606934
0.312866,0.008667,-0.708618,35.644531,26.794432,38.330078
0.313232,0.160522,-0.853027,30.761717,48.278805,44.311520
0.309814,0.227905,-0.990723,30.334471,55.358883,35.095215
0.279175,0.166504,-1.102905,33.630371,47.607418,24.719236
0.253052,0.035034,-0.969971,34.057617,30.395506,16.113281
0.241943,0.052246,-0.873413,28.198240,30.578611,31.433104
0.228760,0.190796,-0.806519,19.592285,48.889156,37.902832
0.219604,0.258301,-0.964722,14.282226,55.541988,32.714844
0.198853,0.223999,-1.006348,9.277344,52.612301,22.277830
0.194702,0.240845,-1.009888,8.117676,49.438473,22.033689
-0.184082,0.107422,-0.943115,-62.499996,26.611326,-58.654781
-0.197266,0.097534,-1.126343,-68.115234,19.104004,-70.312500
-0.210815,-0.109009,-1.144531,-64.208984,8.544922,-73.852539
-0.212891,-0.096313,-0.969849,-55.114742,-10.559081,-61.340328
-0.216187,-0.019287,-0.874390,-72.692871,-8.789063,-54.687496
-0.211060,0.006226,-0.844971,-72.387695,16.113281,-66.650391
-0.231323,-0.078735,-1.109497,-65.734863,22.216795,-68.664551
-0.271851,-0.073242,-1.173584,-69.519043,8.789063,-66.406250
-0.288940,-0.105713,-1.189575,-60.607906,-4.211426,-66.772461
-0.290649,-0.206299,-1.144287,-39.001465,-17.150879,-57.922359
-0.258057,-0.149292,-1.003906,-36.743164,-20.202635,-51.391598
-0.252563,-0.115234,-1.034912,-35.888672,-14.526366,-48.706051
-0.261353,-0.120483,-1.064697,-45.898434,-12.084960,-51.269527
-0.279785,-0.127563,-1.151123,-58.654781,-12.451171,-51.391598
-0.282349,-0.204956,-1.263184,-60.913082,-16.235352,-51.696774
-0.274414,-0.267578,-1.204590,-56.884762,-31.616209,-48.461910
-0.262573,-0.248047,-1.057007,-35.339355,-46.630856,-40.222164
-0.253052,-0.232300,-1.035400,-27.404783,-48.217770,-38.330078
-0.240845,-0.252930,-1.099854,-33.874512,-47.973629,-39.672852
-0.232910,-0.252563,-1.144897,-41.015621,-50.537106,-38.940430
